scenario,mode,trip_id,vehicle_id,truck_type,route,destination,item_id,cargo_code,category,x,y,z,length,width,height,weight,original_length,original_width,original_height,orientation
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G1_007,G1,I,300.0,0.0,0.0,120.0,80.0,40.0,350,120,80,40,fixed
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G1_004,G1,I,300.0,80.0,0.0,120.0,80.0,40.0,350,120,80,40,fixed
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G1_002,G1,I,300.0,160.0,0.0,120.0,80.0,40.0,350,120,80,40,fixed
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G1_001,G1,I,420.0,0.0,0.0,120.0,80.0,40.0,350,120,80,40,fixed
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G1_008,G1,I,420.0,80.0,0.0,120.0,80.0,40.0,350,120,80,40,fixed
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G1_003,G1,I,420.0,160.0,0.0,120.0,80.0,40.0,350,120,80,40,fixed
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G1_006,G1,I,160.0,0.0,0.0,120.0,80.0,40.0,350,120,80,40,fixed
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G1_005,G1,I,160.0,80.0,0.0,120.0,80.0,40.0,350,120,80,40,fixed
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G3_001,G3,III,240.0,160.0,0.0,60.0,80.0,60.0,120,80,60,60,perm1
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G3_003,G3,III,180.0,160.0,0.0,60.0,80.0,60.0,120,80,60,60,perm1
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G3_002,G3,III,120.0,160.0,0.0,60.0,80.0,60.0,120,80,60,60,perm1
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G1_012,G1,I,540.0,0.0,0.0,120.0,80.0,40.0,350,120,80,40,fixed
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G1_011,G1,I,540.0,80.0,0.0,120.0,80.0,40.0,350,120,80,40,fixed
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G3_004,G3,III,540.0,160.0,0.0,60.0,80.0,60.0,120,80,60,60,perm1
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G1_010,G1,I,40.0,0.0,0.0,120.0,80.0,40.0,350,120,80,40,fixed
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G1_009,G1,I,40.0,80.0,0.0,120.0,80.0,40.0,350,120,80,40,fixed
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G3_011,G3,III,60.0,160.0,0.0,60.0,80.0,60.0,120,80,60,60,perm1
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G3_007,G3,III,600.0,160.0,0.0,60.0,80.0,60.0,120,80,60,60,perm1
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G3_008,G3,III,0.0,160.0,0.0,60.0,80.0,60.0,120,80,60,60,perm1
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G3_010,G3,III,660.0,0.0,0.0,60.0,80.0,60.0,120,80,60,60,perm1
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G3_005,G3,III,660.0,80.0,0.0,60.0,80.0,60.0,120,80,60,60,perm1
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G3_012,G3,III,660.0,160.0,0.0,60.0,80.0,60.0,120,80,60,60,perm1
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G3_009,G3,III,300.0,0.0,40.0,80.0,60.0,60.0,120,80,60,60,perm0
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G3_006,G3,III,300.0,60.0,40.0,80.0,60.0,60.0,120,80,60,60,perm0
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G3_020,G3,III,300.0,120.0,40.0,80.0,60.0,60.0,120,80,60,60,perm0
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G3_017,G3,III,300.0,180.0,40.0,80.0,60.0,60.0,120,80,60,60,perm0
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G3_018,G3,III,380.0,0.0,40.0,60.0,80.0,60.0,120,80,60,60,perm1
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G3_013,G3,III,380.0,80.0,40.0,60.0,80.0,60.0,120,80,60,60,perm1
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G3_014,G3,III,380.0,160.0,40.0,60.0,80.0,60.0,120,80,60,60,perm1
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G3_016,G3,III,440.0,0.0,40.0,60.0,80.0,60.0,120,80,60,60,perm1
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G3_019,G3,III,440.0,80.0,40.0,60.0,80.0,60.0,120,80,60,60,perm1
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G3_015,G3,III,440.0,160.0,40.0,60.0,80.0,60.0,120,80,60,60,perm1
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G3_024,G3,III,160.0,0.0,40.0,80.0,60.0,60.0,120,80,60,60,perm0
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G3_028,G3,III,160.0,60.0,40.0,80.0,60.0,60.0,120,80,60,60,perm0
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G3_025,G3,III,500.0,0.0,40.0,60.0,80.0,60.0,120,80,60,60,perm1
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G3_027,G3,III,500.0,80.0,40.0,60.0,80.0,60.0,120,80,60,60,perm1
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G3_026,G3,III,560.0,0.0,40.0,60.0,80.0,60.0,120,80,60,60,perm1
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G3_021,G3,III,560.0,80.0,40.0,60.0,80.0,60.0,120,80,60,60,perm1
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G3_022,G3,III,40.0,0.0,40.0,80.0,60.0,60.0,120,80,60,60,perm0
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G3_023,G3,III,40.0,60.0,40.0,80.0,60.0,60.0,120,80,60,60,perm0
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G4_002,G4,IV,240.0,160.0,60.0,60.0,80.0,100.0,30,100,80,60,perm5
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G4_004,G4,IV,180.0,160.0,60.0,60.0,80.0,100.0,30,100,80,60,perm5
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G3_029,G3,III,120.0,160.0,60.0,60.0,80.0,60.0,120,80,60,60,perm1
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G4_003,G4,IV,540.0,160.0,60.0,60.0,80.0,100.0,30,100,80,60,perm5
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G3_030,G3,III,60.0,160.0,60.0,60.0,80.0,60.0,120,80,60,60,perm1
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G4_005,G4,IV,600.0,160.0,60.0,60.0,80.0,100.0,30,100,80,60,perm5
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G4_006,G4,IV,0.0,160.0,60.0,60.0,80.0,100.0,30,100,80,60,perm5
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G4_001,G4,IV,660.0,0.0,60.0,60.0,100.0,80.0,30,100,80,60,perm4
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G4_008,G4,IV,660.0,100.0,60.0,60.0,100.0,80.0,30,100,80,60,perm4
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G4_011,G4,IV,300.0,0.0,100.0,100.0,80.0,60.0,30,100,80,60,perm0
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G4_012,G4,IV,300.0,80.0,100.0,100.0,80.0,60.0,30,100,80,60,perm0
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G4_010,G4,IV,300.0,160.0,100.0,100.0,80.0,60.0,30,100,80,60,perm0
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G4_014,G4,IV,400.0,0.0,100.0,60.0,100.0,80.0,30,100,80,60,perm4
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G4_007,G4,IV,400.0,100.0,100.0,60.0,100.0,80.0,30,100,80,60,perm4
q1,strict,Q1_T1,Q1_V1,HeavyEV,,,G4_009,G4,IV,460.0,0.0,100.0,60.0,100.0,80.0,30,100,80,60,perm4
