item_id,cargo_code,category,length,width,height,weight
G4_034,G4,IV,100,80,60,30
G4_033,G4,IV,100,80,60,30
G4_043,G4,IV,100,80,60,30
G4_041,G4,IV,100,80,60,30
G4_040,G4,IV,100,80,60,30
G4_046,G4,IV,100,80,60,30
G4_039,G4,IV,100,80,60,30
G4_042,G4,IV,100,80,60,30
G4_045,G4,IV,100,80,60,30
G4_044,G4,IV,100,80,60,30
G4_053,G4,IV,100,80,60,30
G4_049,G4,IV,100,80,60,30
G4_052,G4,IV,100,80,60,30
G4_051,G4,IV,100,80,60,30
G4_048,G4,IV,100,80,60,30
G4_054,G4,IV,100,80,60,30
G4_050,G4,IV,100,80,60,30
G4_047,G4,IV,100,80,60,30
G4_058,G4,IV,100,80,60,30
G4_055,G4,IV,100,80,60,30
G4_056,G4,IV,100,80,60,30
G4_060,G4,IV,100,80,60,30
G4_061,G4,IV,100,80,60,30
G4_059,G4,IV,100,80,60,30
G4_057,G4,IV,100,80,60,30
G4_062,G4,IV,100,80,60,30
G4_064,G4,IV,100,80,60,30
G4_070,G4,IV,100,80,60,30
G4_067,G4,IV,100,80,60,30
G4_066,G4,IV,100,80,60,30
G4_063,G4,IV,100,80,60,30
G4_065,G4,IV,100,80,60,30
G4_069,G4,IV,100,80,60,30
G4_068,G4,IV,100,80,60,30
G4_071,G4,IV,100,80,60,30
G4_078,G4,IV,100,80,60,30
G4_074,G4,IV,100,80,60,30
G4_072,G4,IV,100,80,60,30
G4_073,G4,IV,100,80,60,30
G4_077,G4,IV,100,80,60,30
G4_075,G4,IV,100,80,60,30
G4_076,G4,IV,100,80,60,30
G4_079,G4,IV,100,80,60,30
G4_080,G4,IV,100,80,60,30
G2_010,G2,II,60,50,40,25
G2_012,G2,II,60,50,40,25
G2_018,G2,II,60,50,40,25
G2_017,G2,II,60,50,40,25
G2_015,G2,II,60,50,40,25
G2_019,G2,II,60,50,40,25
G2_013,G2,II,60,50,40,25
G2_014,G2,II,60,50,40,25
G2_016,G2,II,60,50,40,25
G2_020,G2,II,60,50,40,25
G2_024,G2,II,60,50,40,25
G2_026,G2,II,60,50,40,25
G2_025,G2,II,60,50,40,25
G2_021,G2,II,60,50,40,25
G2_022,G2,II,60,50,40,25
G2_023,G2,II,60,50,40,25
G2_027,G2,II,60,50,40,25
G2_028,G2,II,60,50,40,25
G2_032,G2,II,60,50,40,25
G2_036,G2,II,60,50,40,25
G2_030,G2,II,60,50,40,25
G2_035,G2,II,60,50,40,25
G2_033,G2,II,60,50,40,25
G2_031,G2,II,60,50,40,25
G2_029,G2,II,60,50,40,25
G2_034,G2,II,60,50,40,25
G2_037,G2,II,60,50,40,25
G2_040,G2,II,60,50,40,25
G2_038,G2,II,60,50,40,25
G2_039,G2,II,60,50,40,25
