scenario,mode,trip_id,vehicle_id,truck_type,route,destination,item_id,cargo_code,category,x,y,z,length,width,height,weight,original_length,original_width,original_height,orientation
q2,strict,STRICT_001,HeavyEV_001,HeavyEV,S1,S1,B1_001,B1,I,300.0,0.0,0.0,120.0,80.0,40.0,350,120,80,40,fixed
q2,strict,STRICT_001,HeavyEV_001,HeavyEV,S1,S1,B1_002,B1,I,300.0,80.0,0.0,120.0,80.0,40.0,350,120,80,40,fixed
q2,strict,STRICT_001,HeavyEV_001,HeavyEV,S1,S1,B1_003,B1,I,300.0,160.0,0.0,120.0,80.0,40.0,350,120,80,40,fixed
q2,strict,STRICT_001,HeavyEV_001,HeavyEV,S1,S1,B1_004,B1,I,420.0,0.0,0.0,120.0,80.0,40.0,350,120,80,40,fixed
q2,strict,STRICT_001,HeavyEV_001,HeavyEV,S1,S1,B1_005,B1,I,420.0,80.0,0.0,120.0,80.0,40.0,350,120,80,40,fixed
q2,strict,STRICT_001,HeavyEV_001,HeavyEV,S1,S1,B1_006,B1,I,420.0,160.0,0.0,120.0,80.0,40.0,350,120,80,40,fixed
q2,strict,STRICT_001,HeavyEV_001,HeavyEV,S1,S1,B1_007,B1,I,160.0,0.0,0.0,120.0,80.0,40.0,350,120,80,40,fixed
q2,strict,STRICT_001,HeavyEV_001,HeavyEV,S1,S1,B1_008,B1,I,160.0,80.0,0.0,120.0,80.0,40.0,350,120,80,40,fixed
q2,strict,STRICT_001,HeavyEV_001,HeavyEV,S1,S1,B4_001,B4,III,240.0,160.0,0.0,60.0,80.0,60.0,120,80,60,60,perm1
q2,strict,STRICT_001,HeavyEV_001,HeavyEV,S1,S1,B4_002,B4,III,180.0,160.0,0.0,60.0,80.0,60.0,120,80,60,60,perm1
q2,strict,STRICT_001,HeavyEV_001,HeavyEV,S1,S1,B4_003,B4,III,120.0,160.0,0.0,60.0,80.0,60.0,120,80,60,60,perm1
q2,strict,STRICT_001,HeavyEV_001,HeavyEV,S1,S1,B4_004,B4,III,540.0,0.0,0.0,60.0,80.0,60.0,120,80,60,60,perm1
q2,strict,STRICT_001,HeavyEV_001,HeavyEV,S1,S1,B4_005,B4,III,540.0,80.0,0.0,60.0,80.0,60.0,120,80,60,60,perm1
q2,strict,STRICT_001,HeavyEV_001,HeavyEV,S1,S1,B4_006,B4,III,540.0,160.0,0.0,60.0,80.0,60.0,120,80,60,60,perm1
q2,strict,STRICT_001,HeavyEV_001,HeavyEV,S1,S1,B4_007,B4,III,80.0,0.0,0.0,80.0,60.0,60.0,120,80,60,60,perm0
q2,strict,STRICT_001,HeavyEV_001,HeavyEV,S1,S1,B4_008,B4,III,80.0,60.0,0.0,80.0,60.0,60.0,120,80,60,60,perm0
q2,strict,STRICT_001,HeavyEV_001,HeavyEV,S1,S1,B4_009,B4,III,60.0,120.0,0.0,60.0,60.0,80.0,120,80,60,60,perm2
q2,strict,STRICT_001,HeavyEV_001,HeavyEV,S1,S1,B4_010,B4,III,60.0,180.0,0.0,60.0,60.0,80.0,120,80,60,60,perm2
q2,strict,STRICT_001,HeavyEV_001,HeavyEV,S1,S1,B4_011,B4,III,600.0,0.0,0.0,60.0,80.0,60.0,120,80,60,60,perm1
q2,strict,STRICT_001,HeavyEV_001,HeavyEV,S1,S1,B4_012,B4,III,600.0,80.0,0.0,60.0,80.0,60.0,120,80,60,60,perm1
q2,strict,STRICT_001,HeavyEV_001,HeavyEV,S1,S1,B4_013,B4,III,600.0,160.0,0.0,60.0,80.0,60.0,120,80,60,60,perm1
q2,strict,STRICT_001,HeavyEV_001,HeavyEV,S1,S1,B4_014,B4,III,0.0,0.0,0.0,80.0,60.0,60.0,120,80,60,60,perm0
q2,strict,STRICT_001,HeavyEV_001,HeavyEV,S1,S1,B4_015,B4,III,0.0,60.0,0.0,80.0,60.0,60.0,120,80,60,60,perm0
q2,strict,STRICT_001,HeavyEV_001,HeavyEV,S1,S1,B4_016,B4,III,0.0,120.0,0.0,60.0,80.0,60.0,120,80,60,60,perm1
q2,strict,STRICT_001,HeavyEV_001,HeavyEV,S1,S1,B4_017,B4,III,660.0,0.0,0.0,60.0,80.0,60.0,120,80,60,60,perm1
q2,strict,STRICT_001,HeavyEV_001,HeavyEV,S1,S1,B4_018,B4,III,660.0,80.0,0.0,60.0,80.0,60.0,120,80,60,60,perm1
q2,strict,STRICT_001,HeavyEV_001,HeavyEV,S1,S1,B4_019,B4,III,660.0,160.0,0.0,60.0,80.0,60.0,120,80,60,60,perm1
q2,strict,STRICT_001,HeavyEV_001,HeavyEV,S1,S1,B4_020,B4,III,300.0,0.0,40.0,80.0,60.0,60.0,120,80,60,60,perm0
q2,strict,STRICT_002,HeavyEV_002,HeavyEV,S2,S2,B6_001,B6,IV,320.0,0.0,0.0,100.0,80.0,60.0,30,100,80,60,perm0
q2,strict,STRICT_002,HeavyEV_002,HeavyEV,S2,S2,B6_002,B6,IV,320.0,80.0,0.0,100.0,80.0,60.0,30,100,80,60,perm0
q2,strict,STRICT_002,HeavyEV_002,HeavyEV,S2,S2,B6_003,B6,IV,320.0,160.0,0.0,100.0,80.0,60.0,30,100,80,60,perm0
q2,strict,STRICT_002,HeavyEV_002,HeavyEV,S2,S2,B6_004,B6,IV,420.0,0.0,0.0,60.0,100.0,80.0,30,100,80,60,perm4
q2,strict,STRICT_002,HeavyEV_002,HeavyEV,S2,S2,B6_005,B6,IV,420.0,100.0,0.0,60.0,100.0,80.0,30,100,80,60,perm4
q2,strict,STRICT_002,HeavyEV_002,HeavyEV,S2,S2,B6_006,B6,IV,250.0,0.0,0.0,60.0,100.0,80.0,30,100,80,60,perm4
q2,strict,STRICT_002,HeavyEV_002,HeavyEV,S2,S2,B6_007,B6,IV,250.0,100.0,0.0,60.0,100.0,80.0,30,100,80,60,perm4
q2,strict,STRICT_002,HeavyEV_002,HeavyEV,S2,S2,B6_008,B6,IV,480.0,0.0,0.0,60.0,100.0,80.0,30,100,80,60,perm4
q2,strict,STRICT_002,HeavyEV_002,HeavyEV,S2,S2,B6_009,B6,IV,480.0,100.0,0.0,60.0,100.0,80.0,30,100,80,60,perm4
q2,strict,STRICT_002,HeavyEV_002,HeavyEV,S2,S2,B6_010,B6,IV,190.0,0.0,0.0,60.0,100.0,80.0,30,100,80,60,perm4
q2,strict,STRICT_002,HeavyEV_002,HeavyEV,S2,S2,B6_011,B6,IV,190.0,100.0,0.0,60.0,100.0,80.0,30,100,80,60,perm4
q2,strict,STRICT_002,HeavyEV_002,HeavyEV,S2,S2,B6_012,B6,IV,130.0,0.0,0.0,60.0,100.0,80.0,30,100,80,60,perm4
q2,strict,STRICT_002,HeavyEV_002,HeavyEV,S2,S2,B6_013,B6,IV,130.0,100.0,0.0,60.0,100.0,80.0,30,100,80,60,perm4
q2,strict,STRICT_002,HeavyEV_002,HeavyEV,S2,S2,B6_014,B6,IV,540.0,0.0,0.0,60.0,100.0,80.0,30,100,80,60,perm4
q2,strict,STRICT_002,HeavyEV_002,HeavyEV,S2,S2,B6_015,B6,IV,540.0,100.0,0.0,60.0,100.0,80.0,30,100,80,60,perm4
