cargo_code,category,length,width,height,weight,quantity,destination
Q3_01,I,90,70,40,260,3,S1
Q3_02,II,70,60,45,55,7,S2
Q3_03,III,90,50,50,90,3,S3
Q3_04,IV,100,60,50,25,11,S4
Q3_05,V,50,50,40,80,4,S5
Q3_06,I,110,70,45,220,3,S6
Q3_07,II,60,40,45,45,6,S7
Q3_08,III,70,70,60,90,5,S8
Q3_09,IV,100,70,50,25,9,S2
Q3_10,V,60,50,40,80,5,S5
Q3_11,I,120,80,45,330,3,S3
Q3_12,II,60,60,40,35,4,S4
Q3_13,III,60,70,50,160,6,S5
Q3_14,IV,90,70,40,25,11,S6
Q3_15,V,60,50,60,80,4,S7
Q3_16,I,120,80,45,330,2,S5
Q3_17,II,60,40,45,45,3,S1
Q3_18,III,60,50,60,160,5,S4
Q3_19,IV,90,70,60,50,9,S3
Q3_20,V,60,50,50,35,4,S8
