eta,mu,vehicle_count,transport_cost,relocation_count,relocation_volume_m3,penalty_cost,total_cost,flexible_better_than_strict
0,0,3,2770.781835,0,0.0,0.0,2770.781835,True
0,10,3,2770.781835,0,0.0,0.0,2770.781835,True
0,30,3,2770.781835,0,0.0,0.0,2770.781835,True
0,60,3,2770.781835,0,0.0,0.0,2770.781835,True
0,100,3,2770.781835,0,0.0,0.0,2770.781835,True
10,0,3,2770.781835,0,0.0,0.0,2770.781835,True
10,10,3,2770.781835,0,0.0,0.0,2770.781835,True
10,30,3,2770.781835,0,0.0,0.0,2770.781835,True
10,60,3,2770.781835,0,0.0,0.0,2770.781835,True
10,100,3,2770.781835,0,0.0,0.0,2770.781835,True
20,0,3,2770.781835,0,0.0,0.0,2770.781835,True
20,10,3,2770.781835,0,0.0,0.0,2770.781835,True
20,30,3,2770.781835,0,0.0,0.0,2770.781835,True
20,60,3,2770.781835,0,0.0,0.0,2770.781835,True
20,100,3,2770.781835,0,0.0,0.0,2770.781835,True
40,0,3,2770.781835,0,0.0,0.0,2770.781835,True
40,10,3,2770.781835,0,0.0,0.0,2770.781835,True
40,30,3,2770.781835,0,0.0,0.0,2770.781835,True
40,60,3,2770.781835,0,0.0,0.0,2770.781835,True
40,100,3,2770.781835,0,0.0,0.0,2770.781835,True
80,0,3,2770.781835,0,0.0,0.0,2770.781835,True
80,10,3,2770.781835,0,0.0,0.0,2770.781835,True
80,30,3,2770.781835,0,0.0,0.0,2770.781835,True
80,60,3,2770.781835,0,0.0,0.0,2770.781835,True
80,100,3,2770.781835,0,0.0,0.0,2770.781835,True
