scenario,mode,trip_id,vehicle_id,truck_type,route,destination,item_id,cargo_code,category,x,y,z,length,width,height,weight,original_length,original_width,original_height,orientation
q3,strict,Q3B_001,Q3B_V001,HeavyEV,S1->S2->S3,S3,Q3_11_001,Q3_11,I,113.753275,0.0,0.0,120.0,80.0,45.0,330,120,80,45,fixed
q3,strict,Q3B_001,Q3B_V001,HeavyEV,S1->S2->S3,S3,Q3_11_002,Q3_11,I,113.753275,80.0,0.0,120.0,80.0,45.0,330,120,80,45,fixed
q3,strict,Q3B_001,Q3B_V001,HeavyEV,S1->S2->S3,S3,Q3_11_003,Q3_11,I,113.753275,160.0,0.0,120.0,80.0,45.0,330,120,80,45,fixed
q3,strict,Q3B_001,Q3B_V001,HeavyEV,S1->S2->S3,S3,Q3_19_001,Q3_19,IV,33.753275,0.0,0.0,70.0,90.0,60.0,50,90,70,60,perm2
q3,strict,Q3B_001,Q3B_V001,HeavyEV,S1->S2->S3,S3,Q3_19_002,Q3_19,IV,33.753275,90.0,0.0,70.0,90.0,60.0,50,90,70,60,perm2
q3,strict,Q3B_001,Q3B_V001,HeavyEV,S1->S2->S3,S3,Q3_19_003,Q3_19,IV,33.753275,180.0,0.0,70.0,60.0,90.0,50,90,70,60,perm3
q3,strict,Q3B_001,Q3B_V001,HeavyEV,S1->S2->S3,S3,Q3_19_004,Q3_19,IV,233.753275,0.0,0.0,60.0,90.0,70.0,50,90,70,60,perm4
q3,strict,Q3B_001,Q3B_V001,HeavyEV,S1->S2->S3,S3,Q3_19_005,Q3_19,IV,233.753275,90.0,0.0,60.0,90.0,70.0,50,90,70,60,perm4
q3,strict,Q3B_001,Q3B_V001,HeavyEV,S1->S2->S3,S3,Q3_19_006,Q3_19,IV,233.753275,180.0,0.0,70.0,60.0,90.0,50,90,70,60,perm3
q3,strict,Q3B_001,Q3B_V001,HeavyEV,S1->S2->S3,S3,Q3_19_007,Q3_19,IV,113.753275,0.0,45.0,90.0,70.0,60.0,50,90,70,60,perm0
q3,strict,Q3B_001,Q3B_V001,HeavyEV,S1->S2->S3,S3,Q3_19_008,Q3_19,IV,113.753275,70.0,45.0,90.0,70.0,60.0,50,90,70,60,perm0
q3,strict,Q3B_001,Q3B_V001,HeavyEV,S1->S2->S3,S3,Q3_19_009,Q3_19,IV,113.753275,140.0,45.0,90.0,70.0,60.0,50,90,70,60,perm0
q3,strict,Q3B_001,Q3B_V001,HeavyEV,S1->S2->S3,S3,Q3_03_001,Q3_03,III,33.753275,0.0,60.0,50.0,90.0,50.0,90,90,50,50,perm1
q3,strict,Q3B_001,Q3B_V001,HeavyEV,S1->S2->S3,S3,Q3_03_002,Q3_03,III,33.753275,90.0,60.0,50.0,90.0,50.0,90,90,50,50,perm1
q3,strict,Q3B_001,Q3B_V001,HeavyEV,S1->S2->S3,S3,Q3_03_003,Q3_03,III,233.753275,0.0,70.0,50.0,90.0,50.0,90,90,50,50,perm1
q3,strict,Q3B_001,Q3B_V001,HeavyEV,S1->S2->S3,S2,Q3_09_001,Q3_09,IV,335.738448,0.0,0.0,100.0,70.0,50.0,25,100,70,50,perm0
q3,strict,Q3B_001,Q3B_V001,HeavyEV,S1->S2->S3,S2,Q3_09_002,Q3_09,IV,335.738448,70.0,0.0,100.0,70.0,50.0,25,100,70,50,perm0
q3,strict,Q3B_001,Q3B_V001,HeavyEV,S1->S2->S3,S2,Q3_09_003,Q3_09,IV,335.738448,140.0,0.0,100.0,70.0,50.0,25,100,70,50,perm0
q3,strict,Q3B_001,Q3B_V001,HeavyEV,S1->S2->S3,S2,Q3_09_004,Q3_09,IV,435.738448,0.0,0.0,50.0,100.0,70.0,25,100,70,50,perm4
q3,strict,Q3B_001,Q3B_V001,HeavyEV,S1->S2->S3,S2,Q3_09_005,Q3_09,IV,435.738448,100.0,0.0,50.0,100.0,70.0,25,100,70,50,perm4
q3,strict,Q3B_001,Q3B_V001,HeavyEV,S1->S2->S3,S2,Q3_09_006,Q3_09,IV,485.738448,0.0,0.0,50.0,100.0,70.0,25,100,70,50,perm4
q3,strict,Q3B_001,Q3B_V001,HeavyEV,S1->S2->S3,S2,Q3_09_007,Q3_09,IV,485.738448,100.0,0.0,50.0,100.0,70.0,25,100,70,50,perm4
q3,strict,Q3B_001,Q3B_V001,HeavyEV,S1->S2->S3,S2,Q3_09_008,Q3_09,IV,535.738448,0.0,0.0,50.0,100.0,70.0,25,100,70,50,perm4
q3,strict,Q3B_001,Q3B_V001,HeavyEV,S1->S2->S3,S2,Q3_09_009,Q3_09,IV,535.738448,100.0,0.0,50.0,100.0,70.0,25,100,70,50,perm4
q3,strict,Q3B_001,Q3B_V001,HeavyEV,S1->S2->S3,S2,Q3_02_001,Q3_02,II,335.738448,0.0,50.0,70.0,60.0,45.0,55,70,60,45,xy0
q3,strict,Q3B_001,Q3B_V001,HeavyEV,S1->S2->S3,S2,Q3_02_002,Q3_02,II,335.738448,60.0,50.0,70.0,60.0,45.0,55,70,60,45,xy0
q3,strict,Q3B_001,Q3B_V001,HeavyEV,S1->S2->S3,S2,Q3_02_003,Q3_02,II,335.738448,120.0,50.0,70.0,60.0,45.0,55,70,60,45,xy0
q3,strict,Q3B_001,Q3B_V001,HeavyEV,S1->S2->S3,S2,Q3_02_004,Q3_02,II,435.738448,0.0,70.0,60.0,70.0,45.0,55,70,60,45,xy90
q3,strict,Q3B_001,Q3B_V001,HeavyEV,S1->S2->S3,S2,Q3_02_005,Q3_02,II,435.738448,70.0,70.0,60.0,70.0,45.0,55,70,60,45,xy90
q3,strict,Q3B_001,Q3B_V001,HeavyEV,S1->S2->S3,S2,Q3_02_006,Q3_02,II,435.738448,140.0,70.0,70.0,60.0,45.0,55,70,60,45,xy0
q3,strict,Q3B_001,Q3B_V001,HeavyEV,S1->S2->S3,S2,Q3_02_007,Q3_02,II,495.738448,0.0,70.0,60.0,70.0,45.0,55,70,60,45,xy90
q3,strict,Q3B_001,Q3B_V001,HeavyEV,S1->S2->S3,S1,Q3_01_001,Q3_01,I,627.575351,0.0,0.0,90.0,70.0,40.0,260,90,70,40,fixed
q3,strict,Q3B_001,Q3B_V001,HeavyEV,S1->S2->S3,S1,Q3_01_002,Q3_01,I,627.575351,70.0,0.0,90.0,70.0,40.0,260,90,70,40,fixed
q3,strict,Q3B_001,Q3B_V001,HeavyEV,S1->S2->S3,S1,Q3_01_003,Q3_01,I,627.575351,140.0,0.0,90.0,70.0,40.0,260,90,70,40,fixed
q3,strict,Q3B_001,Q3B_V001,HeavyEV,S1->S2->S3,S1,Q3_17_001,Q3_17,II,627.575351,0.0,40.0,40.0,60.0,45.0,45,60,40,45,xy90
q3,strict,Q3B_001,Q3B_V001,HeavyEV,S1->S2->S3,S1,Q3_17_002,Q3_17,II,627.575351,60.0,40.0,40.0,60.0,45.0,45,60,40,45,xy90
q3,strict,Q3B_001,Q3B_V001,HeavyEV,S1->S2->S3,S1,Q3_17_003,Q3_17,II,627.575351,120.0,40.0,40.0,60.0,45.0,45,60,40,45,xy90
q3,strict,Q3B_002,Q3B_V002,HeavyEV,S5->S4,S4,Q3_18_001,Q3_18,III,100.0,0.0,0.0,50.0,60.0,60.0,160,60,50,60,perm2
q3,strict,Q3B_002,Q3B_V002,HeavyEV,S5->S4,S4,Q3_18_002,Q3_18,III,100.0,60.0,0.0,60.0,60.0,50.0,160,60,50,60,perm1
q3,strict,Q3B_002,Q3B_V002,HeavyEV,S5->S4,S4,Q3_18_003,Q3_18,III,100.0,120.0,0.0,60.0,60.0,50.0,160,60,50,60,perm1
q3,strict,Q3B_002,Q3B_V002,HeavyEV,S5->S4,S4,Q3_18_004,Q3_18,III,100.0,180.0,0.0,60.0,60.0,50.0,160,60,50,60,perm1
q3,strict,Q3B_002,Q3B_V002,HeavyEV,S5->S4,S4,Q3_18_005,Q3_18,III,150.0,0.0,0.0,50.0,60.0,60.0,160,60,50,60,perm2
q3,strict,Q3B_002,Q3B_V002,HeavyEV,S5->S4,S4,Q3_04_001,Q3_04,IV,50.0,0.0,0.0,50.0,100.0,60.0,25,100,60,50,perm4
q3,strict,Q3B_002,Q3B_V002,HeavyEV,S5->S4,S4,Q3_04_002,Q3_04,IV,50.0,100.0,0.0,50.0,100.0,60.0,25,100,60,50,perm4
q3,strict,Q3B_002,Q3B_V002,HeavyEV,S5->S4,S4,Q3_04_003,Q3_04,IV,160.0,60.0,0.0,50.0,100.0,60.0,25,100,60,50,perm4
q3,strict,Q3B_002,Q3B_V002,HeavyEV,S5->S4,S4,Q3_04_004,Q3_04,IV,160.0,160.0,0.0,50.0,60.0,100.0,25,100,60,50,perm5
q3,strict,Q3B_002,Q3B_V002,HeavyEV,S5->S4,S4,Q3_04_005,Q3_04,IV,200.0,0.0,0.0,50.0,60.0,100.0,25,100,60,50,perm5
q3,strict,Q3B_002,Q3B_V002,HeavyEV,S5->S4,S4,Q3_04_006,Q3_04,IV,0.0,0.0,0.0,50.0,100.0,60.0,25,100,60,50,perm4
q3,strict,Q3B_002,Q3B_V002,HeavyEV,S5->S4,S4,Q3_04_007,Q3_04,IV,0.0,100.0,0.0,50.0,100.0,60.0,25,100,60,50,perm4
q3,strict,Q3B_002,Q3B_V002,HeavyEV,S5->S4,S4,Q3_04_008,Q3_04,IV,210.0,60.0,0.0,50.0,100.0,60.0,25,100,60,50,perm4
q3,strict,Q3B_002,Q3B_V002,HeavyEV,S5->S4,S4,Q3_04_009,Q3_04,IV,210.0,160.0,0.0,50.0,60.0,100.0,25,100,60,50,perm5
q3,strict,Q3B_002,Q3B_V002,HeavyEV,S5->S4,S4,Q3_04_010,Q3_04,IV,250.0,0.0,0.0,50.0,60.0,100.0,25,100,60,50,perm5
q3,strict,Q3B_002,Q3B_V002,HeavyEV,S5->S4,S4,Q3_04_011,Q3_04,IV,260.0,60.0,0.0,50.0,100.0,60.0,25,100,60,50,perm4
q3,strict,Q3B_002,Q3B_V002,HeavyEV,S5->S4,S4,Q3_12_001,Q3_12,II,260.0,160.0,0.0,60.0,60.0,40.0,35,60,60,40,xy0
q3,strict,Q3B_002,Q3B_V002,HeavyEV,S5->S4,S4,Q3_12_002,Q3_12,II,300.0,0.0,0.0,60.0,60.0,40.0,35,60,60,40,xy0
q3,strict,Q3B_002,Q3B_V002,HeavyEV,S5->S4,S4,Q3_12_003,Q3_12,II,310.0,60.0,0.0,60.0,60.0,40.0,35,60,60,40,xy0
q3,strict,Q3B_002,Q3B_V002,HeavyEV,S5->S4,S4,Q3_12_004,Q3_12,II,320.0,160.0,0.0,60.0,60.0,40.0,35,60,60,40,xy0
q3,strict,Q3B_002,Q3B_V002,HeavyEV,S5->S4,S5,Q3_16_001,Q3_16,I,520.0,0.0,0.0,120.0,80.0,45.0,330,120,80,45,fixed
q3,strict,Q3B_002,Q3B_V002,HeavyEV,S5->S4,S5,Q3_16_002,Q3_16,I,520.0,80.0,0.0,120.0,80.0,45.0,330,120,80,45,fixed
q3,strict,Q3B_002,Q3B_V002,HeavyEV,S5->S4,S5,Q3_13_001,Q3_13,III,570.0,170.0,0.0,50.0,70.0,60.0,160,60,70,50,perm5
q3,strict,Q3B_002,Q3B_V002,HeavyEV,S5->S4,S5,Q3_13_002,Q3_13,III,520.0,160.0,0.0,50.0,70.0,60.0,160,60,70,50,perm5
q3,strict,Q3B_002,Q3B_V002,HeavyEV,S5->S4,S5,Q3_13_003,Q3_13,III,620.0,170.0,0.0,50.0,70.0,60.0,160,60,70,50,perm5
q3,strict,Q3B_002,Q3B_V002,HeavyEV,S5->S4,S5,Q3_13_004,Q3_13,III,640.0,0.0,0.0,50.0,70.0,60.0,160,60,70,50,perm5
q3,strict,Q3B_002,Q3B_V002,HeavyEV,S5->S4,S5,Q3_13_005,Q3_13,III,640.0,70.0,0.0,50.0,70.0,60.0,160,60,70,50,perm5
q3,strict,Q3B_002,Q3B_V002,HeavyEV,S5->S4,S5,Q3_13_006,Q3_13,III,470.0,0.0,0.0,50.0,70.0,60.0,160,60,70,50,perm5
q3,strict,Q3B_002,Q3B_V002,HeavyEV,S5->S4,S5,Q3_10_001,Q3_10,V,480.0,90.0,0.0,40.0,60.0,50.0,80,60,50,40,perm4
q3,strict,Q3B_002,Q3B_V002,HeavyEV,S5->S4,S5,Q3_10_002,Q3_10,V,480.0,150.0,0.0,40.0,60.0,50.0,80,60,50,40,perm4
q3,strict,Q3B_002,Q3B_V002,HeavyEV,S5->S4,S5,Q3_10_003,Q3_10,V,670.0,170.0,0.0,40.0,60.0,50.0,80,60,50,40,perm4
q3,strict,Q3B_002,Q3B_V002,HeavyEV,S5->S4,S5,Q3_10_004,Q3_10,V,440.0,90.0,0.0,40.0,60.0,50.0,80,60,50,40,perm4
q3,strict,Q3B_002,Q3B_V002,HeavyEV,S5->S4,S5,Q3_10_005,Q3_10,V,440.0,150.0,0.0,40.0,60.0,50.0,80,60,50,40,perm4
q3,strict,Q3B_002,Q3B_V002,HeavyEV,S5->S4,S5,Q3_05_001,Q3_05,V,420.0,0.0,0.0,50.0,50.0,40.0,80,50,50,40,perm0
q3,strict,Q3B_002,Q3B_V002,HeavyEV,S5->S4,S5,Q3_05_002,Q3_05,V,420.0,50.0,0.0,50.0,40.0,50.0,80,50,50,40,perm1
q3,strict,Q3B_002,Q3B_V002,HeavyEV,S5->S4,S5,Q3_05_003,Q3_05,V,400.0,90.0,0.0,40.0,50.0,50.0,80,50,50,40,perm2
q3,strict,Q3B_002,Q3B_V002,HeavyEV,S5->S4,S5,Q3_05_004,Q3_05,V,400.0,140.0,0.0,40.0,50.0,50.0,80,50,50,40,perm2
q3,strict,Q3B_003,Q3B_V003,HeavyEV,S6->S7,S7,Q3_15_001,Q3_15,V,59.454387,0.0,0.0,60.0,60.0,50.0,80,60,50,60,perm1
q3,strict,Q3B_003,Q3B_V003,HeavyEV,S6->S7,S7,Q3_15_002,Q3_15,V,59.454387,60.0,0.0,60.0,60.0,50.0,80,60,50,60,perm1
q3,strict,Q3B_003,Q3B_V003,HeavyEV,S6->S7,S7,Q3_15_003,Q3_15,V,59.454387,120.0,0.0,60.0,60.0,50.0,80,60,50,60,perm1
q3,strict,Q3B_003,Q3B_V003,HeavyEV,S6->S7,S7,Q3_15_004,Q3_15,V,59.454387,180.0,0.0,60.0,60.0,50.0,80,60,50,60,perm1
q3,strict,Q3B_003,Q3B_V003,HeavyEV,S6->S7,S7,Q3_07_001,Q3_07,II,120.0,0.0,0.0,40.0,60.0,45.0,45,60,40,45,xy90
q3,strict,Q3B_003,Q3B_V003,HeavyEV,S6->S7,S7,Q3_07_002,Q3_07,II,120.0,60.0,0.0,40.0,60.0,45.0,45,60,40,45,xy90
q3,strict,Q3B_003,Q3B_V003,HeavyEV,S6->S7,S7,Q3_07_003,Q3_07,II,120.0,120.0,0.0,40.0,60.0,45.0,45,60,40,45,xy90
