strategy,max_stops,x_blocks,y_lanes,eta,mu,vehicle_count,transport_cost,penalty,total_cost
strict,2,2,2,0,0,4,3575.79855,0,3575.79855
strict,2,2,2,0,30,4,3575.79855,0,3575.79855
strict,2,2,2,0,100,4,3575.79855,0,3575.79855
strict,2,2,2,20,0,4,3575.79855,0,3575.79855
strict,2,2,2,20,30,4,3575.79855,0,3575.79855
strict,2,2,2,20,100,4,3575.79855,0,3575.79855
strict,2,2,2,80,0,4,3575.79855,0,3575.79855
strict,2,2,2,80,30,4,3575.79855,0,3575.79855
strict,2,2,2,80,100,4,3575.79855,0,3575.79855
block,3,3,2,0,0,4,3643.44131,0,3643.44131
block,3,3,2,0,30,4,3643.44131,0,3643.44131
block,3,3,2,0,100,4,3643.44131,0,3643.44131
block,3,3,2,20,0,4,3643.44131,0,3643.44131
block,3,3,2,20,30,4,3643.44131,0,3643.44131
block,3,3,2,20,100,4,3643.44131,0,3643.44131
block,3,3,2,80,0,4,3643.44131,0,3643.44131
block,3,3,2,80,30,4,3643.44131,0,3643.44131
block,3,3,2,80,100,4,3643.44131,0,3643.44131
flexible,4,4,2,0,0,3,2770.781835,0.0,2770.781835
flexible,4,4,2,0,30,3,2770.781835,0.0,2770.781835
flexible,4,4,2,0,100,3,2770.781835,0.0,2770.781835
flexible,4,4,2,20,0,3,2770.781835,0.0,2770.781835
flexible,4,4,2,20,30,3,2770.781835,0.0,2770.781835
flexible,4,4,2,20,100,3,2770.781835,0.0,2770.781835
flexible,4,4,2,80,0,3,2770.781835,0.0,2770.781835
flexible,4,4,2,80,30,3,2770.781835,0.0,2770.781835
flexible,4,4,2,80,100,3,2770.781835,0.0,2770.781835
